区域编号,A,B,C,D,E,F,G,H,I,全市总计,九台区,长春新区,净月区,绿园区,朝阳区,经开区,双阳区,宽城区,南关区,汽开区,二道区,莲花山区,,公主岭市,德惠市,榆树市,农安县
3月4日,,,,,,,,,,5,2,3,,,,,,,,,,,,,,,
3月5日,,,,,,,,,,7,4,2,,,,,,,,,,,,1,,,
3月6日,,,,,,,,,,7,7,,,,,,,,,,,,,,,,
3月7日,,,,,,,,,,17,10,,2,1,3,1,,,,,,,,,,,
3月8日,,,,,,,,,,12,11,,,,,,1,,,,,,,,,,
3月9日,0,0,0,0,0,0,0,1,0,23,20,,1,,,,,,,,,,,,,2,
3月10,0,0,0,0,0,0,2,0,0,2,,,,,,2,,,,,,,,,,,
3月11,0,2,1,2,0,19,1,0,0,63,35,19,,2,,1,,1,2,,,,,1,2,,
3月12,5,30,3,9,4,24,4,153,1,831,565,24,153,9,5,4,2,3,30,1,4,,,7,11,9,4
3月13,10,14,4,7,2,7,12,33,2,430,284,7,33,7,10,12,9,4,14,2,2,,,7,12,25,2
3月14,101,31,13,27,24,43,37,30,21,460+730,788,43,30,27,101,37,2,13,31,21,24,,,9,9,54,1
3月15,22,12,3,4,0,12,26,2,1,314,214,12,2,4,22,26,,3,12,1,,,,1,,17,
3月16,38,10,5,5,3,7,15,9,2,268,151,7,9,5,38,15,,5,10,2,3,,,8,14,,1
3月17,29,54,16,51,28,66,67,32,21,595,180,66,32,51,29,67,,16,54,21,28,,,4,2,43,2
3月18,40,50,12,32,9,36,72,110,13,743,297,36,110,32,40,72,1,12,50,13,9,,,1,2,67,1
3月19,105,109,39,32,26,69,70,13,18,833,332,69,13,32,105,70,,39,109,18,26,,,10,8,1,1
3月20,89,73,29,35,43,49,100,44,30,1079,443,49,44,,89,100,1,29,73,30,43,,,7,20,110,6
3月21,63,63,36,91,25,100,67,34,31,1437,874,100,34,91,63,67,1,36,63,31,25,,,6,12,28,6
3月22,183,98,135,92,99,94,111,63,61,1979,961,94,63,92,183,111,2,135,98,61,99,,,4,9,59,8
3月23,118,63,158,140,80,87,96,50,85,1280,279,87,50,140,118,96,5,158,63,85,80,,,3,15,96,5
3月24,40,32,46,52,35,75,47,7,9,576,179,75,7,52,40,47,5,43,32,9,35,,,4,4,37,4
3月25,24,46,78,36,54,48,36,63,45,554,87,48,63,36,24,36,8,78,46,45,54,2,,3,1,9,14
3月26,48,48,45,36,61,45,64,41,29,633,179,45,41,36,48,64,5,45,48,29,61,,,1,7,12,12
3月27,35,43,60,58,43,74,89,37,17,706,153,74,37,58,35,89,9,60,43,17,43,,,3,12,61,12
3月28,66,68,53,101,22,48,32,12,38,622,157,48,12,101,66,32,2,53,68,38,22,3,,,11,3,6
3月29,44,26,382,122,36,21,50,24,19,875,122,21,24,122,44,50,8,382,26,19,36,3,,1,13,3,1
3月30,56,31,291,68,90,95,156,17,49,997,115,95,17,68,56,156,2,291,31,49,90,5,,,14,5,3
3月31,89,44,219,250,121,31,63,59,60,1078,115,31,59,250,89,63,3,219,44,60,121,4,,2,12,2,4
4月1,190,121,716,168,37,55,125,30,15,1544,57,55,30,168,190,125,,716,121,15,37,10,,1,10,7,2
4月2,44,25,252,177,88,15,44,4,18,723,40,15,4,177,44,44,,252,25,18,88,,,3,,11,2
4月3,74,101,65,84,36,57,48,18,13,574,43,57,18,84,74,48,,65,101,13,36,,,,34,,1
4月4,67,34,110,150,41,35,35,38,10,604,36,35,38,150,67,35,,110,34,10,41,1,,,1,41,5
4月5,80,40,254,81,60,60,165,21,23,817,18,60,21,81,80,165,,254,40,23,60,,,,6,8,1
4月6,107,48,233,144,52,46,56,30,15,766,25,46,30,144,107,56,,233,48,15,52,,,2,5,1,2
4月7,35,38,116,89,36,28,63,12,6,474,41,28,12,89,35,63,,116,38,6,36,,,1,,8,1
4月8,13,5,19,16,11,36,23,4,4,150,14,36,4,16,13,23,,19,5,4,11,,,,1,4,
4月9,19,12,31,24,9,16,27,3,1,175,31,16,3,24,19,27,,31,12,1,9,,,,,2,
4月10,3,7,40,14,8,8,12,1,2,102,3,8,1,14,3,12,,40,7,2,8,,,,,4,
4月11,7,5,34,6,4,7,4,6,0,81,4,7,6,6,7,4,,34,5,,4,,,,3,1,
4月12,13,16,38,29,8,6,31,3,3,173,18,6,3,29,13,31,,38,16,3,8,,,,,8,
4月13,15,39,97,44,27,13,22,7,5,285,11,13,7,44,15,22,,97,39,5,27,,,,,2,3
4月14,,,,,,,,,,138,,,,,,,,,,,,,,,,,
4月15,,,,,,,,,,157,,,,,,,,,,,,,,,,,
4月16,,,,,,,,,,125,,,,,,,,,,,,,,,,,
4月17,,,,,,,,,,144,,,,,,,,,,,,,,,,,
4月18,,,,,,,,,,74,,,,,,,,,,,,,,,,,
4月19,,,,,,,,,,125,,,,,,,,,,,,,,,,,
4月20,,,,,,,,,,88,,,,,,,,,,,,,,,,,
4月21,,,,,,,,,,53,,,,,,,,,,,,,,,,,
4月22,,,,,,,,,,129,,,,,,,,,,,,,,,,,
4月23,,,,,,,,,,45,,,,,,,,,,,,,,,,,
4月24,,,,,,,,,,74,,,,,,,,,,,,,,,,,
4月25,,,,,,,,,,34,,,,,,,,,,,,,,,,,
4月26,,,,,,,,,,46,,,,,,,,,,,,,,,,,
4月27,,,,,,,,,,52,,,,,,,,,,,,,,,,,
4月28,,,,,,,,,,34,,,,,,,,,,,,,,,,,
4月29,,,,,,,,,,19,,,,,,,,,,,,,,,,,
4月30,,,,,,,,,,16,,,,,,,,,,,,,,,,,
5月1,,,,,,,,,,30,,,,,,,,,,,,,,,,,
5月2,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月3,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5月4,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5月5,,,,,,,,,,2,,,,,,,,,,,,,,,,,
5月6,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5月7,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5月8,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月9,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月10,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月11,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月12,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月13,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月14,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月15,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月16,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月17,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月18,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月19,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月20,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月21,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月22,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5月23,,,,,,,,,,0,,,,,,,,,,,,,,,,,
