date,all
2022-03-12,873.0
2022-03-13,433.0
2022-03-14,1193.0
2022-03-15,317.0
2022-03-16,273.0
2022-03-17,595.0
2022-03-18,744.0
2022-03-19,836.0
2022-03-20,1080.0
2022-03-21,1437.0
2022-03-22,1979.0
2022-03-23,1533.0
2022-03-24,866.0
2022-03-25,957.0
2022-03-26,1128.0
2022-03-27,1036.0
2022-03-28,932.0
2022-03-29,1223.0
2022-03-30,1419.0
2022-04-01,2438.0
2022-04-02,3823.0
2022-04-03,2920.0
2022-04-04,1940.0
2022-04-05,2499.0
2022-04-06,2189.0
2022-04-07,2027.0
2022-04-08,798.0
2022-04-09,878.0
2022-04-10,845.0
2022-04-11,651.0
2022-04-12,974.0
2022-04-13,906.0
2022-04-14,436.0
2022-04-15,564.0
2022-04-16,616.0
2022-04-17,492.0
2022-04-18,439.0
2022-04-19,368.0
2022-04-20,321.0
2022-04-21,264.0
2022-04-22,317.0
2022-04-23,172.0
2022-04-24,163.0
2022-04-25,123.0
2022-04-26,112.0
2022-04-27,141.0
2022-04-28,73.0
2022-04-29,48.0
2022-04-30,39.0
2022-05-01,43.0
2022-05-02,20.0
2022-05-03,39.0
2022-05-04,21.0
2022-05-05,11.0
2022-05-06,23.0
2022-05-07,21.0
2022-05-08,3.0
2022-05-09,6.0
2022-05-10,3.0
2022-05-11,1.0
2022-05-12,0.0
